the_geom,COLLECTOR,DATE_,SECTION_,PATROL,ROUTE,ROAD_TYPE,REF_PT,COMMENTS,DATAFILE
POINT (-104.82839838610283 37.80578386519575),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,4,025A,Main_Hwy,63,,S4P0403-08-28.cor
POINT (-104.82843587131032 37.820341732021646),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,4,025A,Main_Hwy,64,,S4P0403-08-28.cor
POINT (-104.82847970125711 37.83477265827127),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,4,025A,Main_Hwy,65,,S4P0403-08-28.cor
POINT (-104.82853984058217 37.849407496753415),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,4,025A,Main_Hwy,66,,S4P0403-08-28.cor
POINT (-104.82857503712819 37.8638610689841),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,4,025A,Main_Hwy,67,,S4P0403-08-28.cor
POINT (-104.82866672603984 37.87828651636117),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,4,025A,Main_Hwy,68,,S4P0403-08-28.cor
POINT (-104.82873163903585 37.89348995764276),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,4,025A,Main_Hwy,69,,S4P0403-08-28.cor
POINT (-104.8287827436036 37.907432893009634),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,4,025A,Main_Hwy,70,,S4P0403-08-28.cor
POINT (-104.82370845950835 37.92114119239107),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,4,025A,Main_Hwy,71,,S4P0403-08-28.cor
POINT (-104.81741658251366 37.93485077332167),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,4,025A,Main_Hwy,72,,S4P0403-08-28.cor
POINT (-104.80477167137506 37.9438231842207),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,4,025A,Main_Hwy,73,,S4P0403-08-28.cor
POINT (-104.79940995855735 37.957521943377486),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,4,025A,Main_Hwy,74,,S4P0403-08-28.cor
POINT (-104.79541715986068 37.962047825274816),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,4,025A,Main_Hwy,74.37999725,,S4P0403-08-28.cor
POINT (-104.78783374805417 37.96868064110883),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,5,025A,Main_Hwy,75,,S4P0503-08-28.cor
POINT (-104.77676492009776 37.9801974196556),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,5,025A,Main_Hwy,76,,S4P0503-08-28.cor
POINT (-104.76560668402 37.99148949346952),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,5,025A,Main_Hwy,77,,S4P0503-08-28.cor
POINT (-104.75378356412081 38.002613897142965),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,5,025A,Main_Hwy,78,,S4P0503-08-28.cor
POINT (-104.74351544753019 38.01467357898943),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,5,025A,Main_Hwy,79,,S4P0503-08-28.cor
POINT (-104.7333427874302 38.02662599362625),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,5,025A,Main_Hwy,80,,S4P0503-08-28.cor
POINT (-104.72872433094238 38.04058654016975),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,5,025A,Main_Hwy,81,,S4P0503-08-28.cor
POINT (-104.7218513278905 38.05387535086481),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,5,025A,Main_Hwy,82,,S4P0503-08-28.cor
POINT (-104.7123842250435 38.06674851342356),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,5,025A,Main_Hwy,83,,S4P0503-08-28.cor
POINT (-104.70504798747174 38.079416222635),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,5,025A,Main_Hwy,84,,S4P0503-08-28.cor
POINT (-104.69407219445995 38.09130100397689),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,5,025A,Main_Hwy,85,,S4P0503-08-28.cor
POINT (-104.68348360670522 38.102769748365745),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,5,025A,Main_Hwy,86,,S4P0503-08-28.cor
POINT (-104.67278901687365 38.114795872636634),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,5,025A,Main_Hwy,87,,S4P0503-08-28.cor
POINT (-104.66948866528173 38.12882986311026),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,5,025A,Main_Hwy,88,,S4P0503-08-28.cor
POINT (-104.66010693539795 38.141430966708235),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,5,025A,Main_Hwy,89,,S4P0503-08-28.cor
POINT (-104.65006851905547 38.153418216539755),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,5,025A,Main_Hwy,90,,S4P0503-08-28.cor
POINT (-104.63971314091553 38.16554634656809),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,5,025A,Main_Hwy,91,,S4P0503-08-28.cor
POINT (-104.63378178716758 38.17879458845844),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,5,025A,Main_Hwy,92,,S4P0503-08-28.cor
POINT (-104.63253486899823 38.19326739484153),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,5,025A,Main_Hwy,93,,S4P0503-08-28.cor
POINT (-104.62875397961801 38.207290615516364),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,5,025A,Main_Hwy,94,,S4P0503-08-28.cor
POINT (-104.62129062239501 38.21668386740136),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,5,025A,Main_Hwy,94.77999878,,S4P0503-08-28.cor
POINT (-105.05997157126514 38.99255489747948),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,77.00099945,,S4P2503-08-21.cor
POINT (-105.06307220232546 39.006215951427535),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,78,,S4P2503-08-21.cor
POINT (-105.0663071020132 39.01976175386858),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,79,,S4P2503-08-21.cor
POINT (-105.07818188480242 39.0305779907237),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,80,,S4P2503-08-21.cor
POINT (-105.0807885840107 39.045125494464),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,81,,S4P2503-08-21.cor
POINT (-105.08924563856765 39.057280748409944),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,82,,S4P2503-08-21.cor
POINT (-105.09209561441246 39.07067443188066),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,83,,S4P2503-08-21.cor
POINT (-105.09779921934586 39.084046218642776),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,84,,S4P2503-08-21.cor
POINT (-105.09846230136657 39.09801236627573),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,85,,S4P2503-08-21.cor
POINT (-105.09924478047759 39.11254916009498),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,86,,S4P2503-08-21.cor
POINT (-105.10496784787529 39.126234736202484),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,87,,S4P2503-08-21.cor
POINT (-105.11498042907641 39.13800705906372),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,88,,S4P2503-08-21.cor
POINT (-105.12848307376991 39.14738201524791),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,89,,S4P2503-08-21.cor
POINT (-105.14485681384956 39.15336287865141),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,90,,S4P2503-08-21.cor
POINT (-105.1582719754926 39.15337457478992),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,91,,S4P2503-08-21.cor
POINT (-105.16440409120324 39.16399676573998),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,92,,S4P2503-08-21.cor
POINT (-105.16713241083657 39.17788050479847),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,93,,S4P2503-08-21.cor
POINT (-105.17320055009338 39.190482590366976),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,94,,S4P2503-08-21.cor
POINT (-105.17736544945731 39.20374970902961),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,95,,S4P2503-08-21.cor
POINT (-105.17936807306396 39.21755212449642),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,96,,S4P2503-08-21.cor
POINT (-105.18894115711286 39.2240754388519),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,97,,S4P2503-08-21.cor
POINT (-105.20172177887842 39.23392409637949),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,98,,S4P2503-08-21.cor
POINT (-105.21488637507885 39.24411047423641),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,99,,S4P2503-08-21.cor
POINT (-105.22648124800043 39.25369787303042),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,100,,S4P2503-08-21.cor
POINT (-105.22677376130781 39.25399861922111),"Bennett, Chuck",08/21/2003 12:00:00 AM,4,25,067D,Main_Hwy,100.01999664,,S4P2503-08-21.cor
POINT (-107.33315991732192 39.553511924100356),"Lambert, Kay",08/12/2003 12:00:00 AM,2,12,070A,Main_Hwy,116,,S2P1203-08-12H.cor
POINT (-107.34843366872238 39.56052963375105),"Lambert, Kay",08/12/2003 12:00:00 AM,2,12,070A,Main_Hwy,115,,S2P1203-08-12H.cor
POINT (-107.3668437544369 39.561718733844494),"Lambert, Kay",08/12/2003 12:00:00 AM,2,12,070A,Main_Hwy,114,,S2P1203-08-12H.cor
POINT (-107.38540373539132 39.56111304563111),"Lambert, Kay",08/12/2003 12:00:00 AM,2,12,070A,Main_Hwy,113,,S2P1203-08-12H.cor
POINT (-107.40252792641104 39.559294765697956),"Lambert, Kay",08/12/2003 12:00:00 AM,2,12,070A,Main_Hwy,112,,S2P1203-08-12H.cor
POINT (-107.41856569827756 39.565920425083796),"Lambert, Kay",08/12/2003 12:00:00 AM,2,12,070A,Main_Hwy,111,,S2P1203-08-12H.cor
POINT (-107.4336578824536 39.57309328441014),"Lambert, Kay",08/12/2003 12:00:00 AM,2,12,070A,Main_Hwy,110,,S2P1203-08-12H.cor
POINT (-107.451997812681 39.574133010247884),"Lambert, Kay",08/12/2003 12:00:00 AM,2,12,070A,Main_Hwy,109,,S2P1203-08-12H.cor
POINT (-107.86615943774613 38.460977138894414),"Lambert, Kay",06/02/2003 12:00:00 AM,2,47,550B,Main_Hwy,128,,S2P4703-06-02A.cor
POINT (-107.87473935559018 38.47620078512147),"Lambert, Kay",06/02/2003 12:00:00 AM,2,47,550B,Main_Hwy,129,,S2P4703-06-02A.cor
POINT (-108.07075549625668 38.74482955956626),"Lambert, Kay",05/30/2003 12:00:00 AM,2,49,050A,Main_Hwy,71,,S2P4903-05-30.cor
POINT (-106.934976704355 38.54430546450482),"Lambert, Kay",06/03/2003 12:00:00 AM,2,50,050A,Main_Hwy,157,,S2P5003-06-03A.cor
POINT (-108.05798353833177 38.719590638437325),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,050A,Main_Hwy,73,,S2P3003-05-30.cor
POINT (-108.04564706765711 38.708628761852296),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,050A,Main_Hwy,74,,S2P3003-05-30.cor
POINT (-108.03043641733143 38.699865357995584),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,050A,Main_Hwy,75,,S2P3003-05-30.cor
POINT (-108.0156560259931 38.69043019002432),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,050A,Main_Hwy,76,,S2P3003-05-30.cor
POINT (-108.00647439438116 38.678766788382),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,050A,Main_Hwy,77,,S2P3003-05-30.cor
POINT (-107.9979163705792 38.66664067820547),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,050A,Main_Hwy,78,,S2P3003-05-30.cor
POINT (-107.9914745778036 38.653278019151685),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,050A,Main_Hwy,79,,S2P3003-05-30.cor
POINT (-107.98773206166328 38.639280275775846),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,050A,Main_Hwy,80,,S2P3003-05-30.cor
POINT (-107.98533131623142 38.62529259755412),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,050A,Main_Hwy,81,,S2P3003-05-30.cor
POINT (-107.97856737445575 38.61287875097689),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,050A,Main_Hwy,82,,S2P3003-05-30.cor
POINT (-107.97513333767682 38.605125196507146),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,348A,Main_Hwy,17,,S2P3003-05-30A.cor
POINT (-107.99351016365542 38.60569436460436),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,348A,Main_Hwy,16,,S2P3003-05-30A.cor
POINT (-108.01196183998313 38.6056671087887),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,348A,Main_Hwy,15,,S2P3003-05-30A.cor
POINT (-108.03010559590219 38.60627843700089),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,348A,Main_Hwy,14,,S2P3003-05-30A.cor
POINT (-108.048386915205 38.60651979783058),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,348A,Main_Hwy,13,,S2P3003-05-30A.cor
POINT (-108.05886109047061 38.612668114896955),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,348A,Main_Hwy,12,,S2P3003-05-30A.cor
POINT (-108.0664260447331 38.62122208522442),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,348A,Main_Hwy,11,,S2P3003-05-30A.cor
POINT (-108.08488185921671 38.62123349151644),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,348A,Main_Hwy,10,,S2P3003-05-30A.cor
POINT (-108.0960719730821 38.62682863518703),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,348A,Main_Hwy,9,,S2P3003-05-30A.cor
POINT (-108.09515449410154 38.640756216110816),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,348A,Main_Hwy,8,,S2P3003-05-30A.cor
POINT (-108.09554515526543 38.65576595580016),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,348A,Main_Hwy,7,,S2P3003-05-30A.cor
POINT (-108.09582315499213 38.6697148163708),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,348A,Main_Hwy,6,,S2P3003-05-30A.cor
POINT (-108.09612296347575 38.68310353492764),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,348A,Main_Hwy,5,,S2P3003-05-30A.cor
POINT (-108.09548729305979 38.697450590007804),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,348A,Main_Hwy,4,,S2P3003-05-30A.cor
POINT (-108.08312724391143 38.70283729107873),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,348A,Main_Hwy,3,,S2P3003-05-30A.cor
POINT (-108.08312237217218 38.7179239424931),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,348A,Main_Hwy,2,,S2P3003-05-30A.cor
POINT (-108.08014950294165 38.73064572152394),"Lambert, Kay",05/30/2003 12:00:00 AM,2,30,348A,Main_Hwy,1,,S2P3003-05-30A.cor
POINT (-108.0409913525769 38.754035961972555),"Lambert, Kay",06/02/2003 12:00:00 AM,2,30,092A,Main_Hwy,2,,S2P3003-06-02.cor
POINT (-108.018636273633 38.75851608580049),"Lambert, Kay",06/02/2003 12:00:00 AM,2,30,092A,Main_Hwy,3,,S2P3003-06-02.cor
POINT (-107.99937495361043 38.76205522671812),"Lambert, Kay",06/02/2003 12:00:00 AM,2,30,092A,Main_Hwy,4,,S2P3003-06-02.cor
POINT (-107.98266334991668 38.76503697008055),"Lambert, Kay",06/02/2003 12:00:00 AM,2,30,092A,Main_Hwy,5,,S2P3003-06-02.cor
POINT (-107.96696976384482 38.77158680402049),"Lambert, Kay",06/02/2003 12:00:00 AM,2,30,092A,Main_Hwy,6,,S2P3003-06-02.cor
POINT (-107.9514086661798 38.779477681578165),"Lambert, Kay",06/02/2003 12:00:00 AM,2,30,092A,Main_Hwy,7,,S2P3003-06-02.cor
POINT (-107.94078249926518 38.78860729108327),"Lambert, Kay",06/02/2003 12:00:00 AM,2,30,092A,Main_Hwy,8,,S2P3003-06-02.cor
POINT (-107.92365839720458 38.79197612120381),"Lambert, Kay",06/02/2003 12:00:00 AM,2,30,092A,Main_Hwy,9,,S2P3003-06-02.cor
POINT (-107.97507459050588 38.436251546730475),"Lambert, Kay",06/02/2003 12:00:00 AM,2,29,090B,Main_Hwy,82,,S2P2903-06-02.cor
POINT (-107.95773533408446 38.43729816886689),"Lambert, Kay",06/02/2003 12:00:00 AM,2,29,090B,Main_Hwy,83,,S2P2903-06-02.cor
POINT (-107.9459071347442 38.443439248146696),"Lambert, Kay",06/02/2003 12:00:00 AM,2,29,090B,Main_Hwy,84,MMM,S2P2903-06-02.cor
POINT (-107.92808264926424 38.4449159040248),"Lambert, Kay",06/02/2003 12:00:00 AM,2,29,090B,Main_Hwy,85,,S2P2903-06-02.cor
POINT (-107.92811598316958 38.458937613192084),"Lambert, Kay",06/02/2003 12:00:00 AM,2,29,090B,Main_Hwy,86,,S2P2903-06-02.cor
POINT (-107.91208101385145 38.46146835511676),"Lambert, Kay",06/02/2003 12:00:00 AM,2,29,090B,Main_Hwy,87,,S2P2903-06-02.cor
POINT (-107.9101373793563 38.47465429628302),"Lambert, Kay",06/02/2003 12:00:00 AM,2,29,090B,Main_Hwy,88,,S2P2903-06-02.cor
POINT (-107.89168815653238 38.4745460945823),"Lambert, Kay",06/02/2003 12:00:00 AM,2,29,090B,Main_Hwy,89,,S2P2903-06-02.cor
POINT (-107.78657167810002 38.33841866277148),"Lambert, Kay",06/02/2003 12:00:00 AM,2,29,550B,Main_Hwy,118,,S2P2903-06-02A.cor
POINT (-107.7950253721246 38.350677037555),"Lambert, Kay",06/02/2003 12:00:00 AM,2,29,550B,Main_Hwy,119,,S2P2903-06-02A.cor
POINT (-107.80605860533602 38.36340599881366),"Lambert, Kay",06/02/2003 12:00:00 AM,2,29,550B,Main_Hwy,120,,S2P2903-06-02A.cor
POINT (-107.81570840209649 38.37458061745534),"Lambert, Kay",06/02/2003 12:00:00 AM,2,29,550B,Main_Hwy,121,,S2P2903-06-02A.cor
POINT (-107.8259602044519 38.386375212792046),"Lambert, Kay",06/02/2003 12:00:00 AM,2,29,550B,Main_Hwy,122,,S2P2903-06-02A.cor
POINT (-107.8364564416022 38.39850820277096),"Lambert, Kay",06/02/2003 12:00:00 AM,2,29,550B,Main_Hwy,123,,S2P2903-06-02A.cor
POINT (-107.84682069615714 38.410468285684054),"Lambert, Kay",06/02/2003 12:00:00 AM,2,29,550B,Main_Hwy,124,,S2P2903-06-02A.cor
POINT (-107.85701442151225 38.42223024797766),"Lambert, Kay",06/02/2003 12:00:00 AM,2,29,550B,Main_Hwy,125,,S2P2903-06-02A.cor
POINT (-107.86623470280244 38.43511469023155),"Lambert, Kay",06/02/2003 12:00:00 AM,2,29,550B,Main_Hwy,126,,S2P2903-06-02A.cor
POINT (-107.86623169230909 38.448694062060966),"Lambert, Kay",06/02/2003 12:00:00 AM,2,29,550B,Main_Hwy,127,,S2P2903-06-02A.cor
POINT (-107.45176100638444 39.57396187477776),"Lambert, Kay",06/05/2003 12:00:00 AM,2,12,070A,Main_Hwy,109,,S2P1203-06-05A.cor
POINT (-107.43382487209969 39.57288765180122),"Lambert, Kay",06/05/2003 12:00:00 AM,2,12,070A,Main_Hwy,110,,S2P1203-06-05A.cor
POINT (-107.41857538606004 39.56572901696552),"Lambert, Kay",06/05/2003 12:00:00 AM,2,12,070A,Main_Hwy,111,,S2P1203-06-05A.cor
POINT (-107.4025991183324 39.559159798299696),"Lambert, Kay",06/05/2003 12:00:00 AM,2,12,070A,Main_Hwy,112,,S2P1203-06-05A.cor
POINT (-107.3852315279727 39.56046213963896),"Lambert, Kay",06/05/2003 12:00:00 AM,2,12,070A,Main_Hwy,113,,S2P1203-06-05A.cor
POINT (-107.3641786411589 39.56101254708903),"Lambert, Kay",06/05/2003 12:00:00 AM,2,12,070A,Main_Hwy,114,,S2P1203-06-05A.cor
POINT (-107.34850571645582 39.56024170907623),"Lambert, Kay",06/05/2003 12:00:00 AM,2,12,070A,Main_Hwy,115,,S2P1203-06-05A.cor
POINT (-107.33339799330793 39.55336999503601),"Lambert, Kay",06/05/2003 12:00:00 AM,2,12,070A,Main_Hwy,116,,S2P1203-06-05A.cor
POINT (-106.69929384225635 37.718809909272686),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,5,,S7P2303-04-15.cor
POINT (-106.71312010650045 37.727709461802824),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,6,,S7P2303-04-15.cor
POINT (-106.72817436594158 37.73542713219628),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,7,,S7P2303-04-15.cor
POINT (-106.74394825865404 37.741506018834365),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,8,,S7P2303-04-15.cor
POINT (-106.75969083650962 37.74700450185509),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,9,,S7P2303-04-15.cor
POINT (-106.77207988915224 37.75635889313051),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,10,,S7P2303-04-15.cor
POINT (-106.7882095615885 37.76329872011038),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,11,,S7P2303-04-15.cor
POINT (-106.80296620442023 37.7680497266836),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,12,,S7P2303-04-15.cor
POINT (-106.82081415985493 37.76628973081605),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,13,,S7P2303-04-15.cor
POINT (-106.83128779153971 37.77426521435225),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,14,,S7P2303-04-15.cor
POINT (-106.84697758000574 37.78027691103371),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,15,,S7P2303-04-15.cor
POINT (-106.85701965191049 37.7920963366201),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,16,,S7P2303-04-15.cor
POINT (-106.86486958917465 37.80481071434489),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,17,,S7P2303-04-15.cor
POINT (-106.8785812922002 37.81405166959078),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,18,,S7P2303-04-15.cor
POINT (-106.892305093775 37.823380276535595),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,19,,S7P2303-04-15.cor
POINT (-106.91131206217099 37.8316982177632),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,20,,S7P2303-04-15.cor
POINT (-106.92137148557276 37.843933348931756),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,21,,S7P2303-04-15.cor
POINT (-106.92500309083053 37.840433240709054),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,22,,S7P2303-04-15.cor
POINT (-106.91997163915934 37.82905581449583),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,23,,S7P2303-04-15.cor
POINT (-106.93613602993585 37.824478386078106),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,24,,S7P2303-04-15.cor
POINT (-106.95367739888819 37.823943959480566),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,25,,S7P2303-04-15.cor
POINT (-106.9697699981597 37.81746369289158),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,26,,S7P2303-04-15.cor
POINT (-106.97782857058418 37.80437895733875),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,27,,S7P2303-04-15.cor
POINT (-106.98338495593975 37.79178406269407),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,28,,S7P2303-04-15.cor
POINT (-106.99905436079078 37.783973247543116),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,29,,S7P2303-04-15.cor
POINT (-107.00972984309796 37.77319834704292),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,30,,S7P2303-04-15.cor
POINT (-107.01931239232476 37.7618008652702),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,31,,S7P2303-04-15.cor
POINT (-107.02317028738642 37.74771887288256),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,32,,S7P2303-04-15.cor
POINT (-107.0294449924887 37.734149669424525),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,33,,S7P2303-04-15.cor
POINT (-107.04064811915684 37.724265441980386),"SANDERSON, JOHN",04/15/2003 12:00:00 AM,7,23,149A,Main_Hwy,34,,S7P2303-04-15.cor
